Name;XT;Module;Channel
DI_BIN02GATE_CLOSED_RESERVE;DI;16;4
DI_FLOWAUGER_MOTION;DI;16;5
DI_PACKINGHOPPER_HIGHLEVEL;DI;16;6
DI_HORIZONTALAUGER_MOTION;DI;16;7
DI_HORIZONTALAUGER_RUNNING;DI;16;8

DI_VERTICALAUGER_MOTION;DI;17;1
DI_SILO02_HIGHLEVEL;DI;17;2
DI_SILO02_LOWLEVEL;DI;17;3
DI_VENTAUGER_MOTION;DI;17;4
DI_VENTFAN_RUNNING;DI;17;5
DI_RESERVE_1;DI;17;6
DI_RESERVE_2;DI;17;7
DI_RESERVE_3;DI;17;8

DI_RESERVE_4;DI;18;1
DI_PANEL1_START;DI;18;2
DI_PANEL1_STOP;DI;18;3
DI_PANEL2_START;DI;18;4
DI_PANEL2_STOP;DI;18;5
DI_STATION1_MANUAL;DI;18;6
DI_STATION1_START;DI;18;7
DI_STATION1_STOP;DI;18;8

DI_STATION2_MANUAL;DI;19;1
DI_STATION2_START;DI;19;2
DI_STATION2_STOP;DI;19;3
DI_STATION3_MANUAL;DI;19;4
DI_STATION3_START;DI;19;5
DI_STATION3_STOP;DI;19;6
DI_STATION4_MANUAL;DI;19;7
DI_STATION4_START;DI;19;8

DI_STATION4_STOP;DI;20;1
DI_STATION5_MANUAL;DI;20;2
DI_STATION5_START;DI;20;3
DI_STATION5_STOP;DI;20;4
DI_STATION6_MANUAL;DI;20;5
DI_STATION6_START;DI;20;6
DI_STATION6_STOP;DI;20;7
DI_STATION7_MANUAL;DI;20;8

DI_STATION7_START;DI;21;1
DI_STATION7_STOP;DI;21;2
DI_STATION8_MANUAL;DI;21;3
DI_STATION8_START;DI;21;4
DI_STATION8_STOP;DI;21;5
DI_STATION9_MANUAL;DI;21;6
DI_STATION9_START;DI;21;7
DI_STATION9_STOP;DI;21;8

DI_STATION10_MANUAL;DI;22;1
DI_STATION10_START;DI;22;2
DI_STATION10_STOP;DI;22;3
DI_STATION11_MANUAL;DI;22;4
DI_STATION11_START;DI;22;5
DI_STATION11_STOP;DI;22;6
DI_STATION12_MANUAL;DI;22;7
DI_STATION12_START;DI;22;8

DI_STATION12_STOP;DI;23;1
DI_STATION13_MANUAL;DI;23;2
DI_STATION13_START;DI;23;3
DI_STATION13_STOP;DI;23;4
DI_STATION14_MANUAL;DI;23;5
DI_STATION14_START;DI;23;6
DI_STATION14_STOP;DI;23;7
DI_STATION15_MANUAL;DI;23;8

DI_STATION15_START;DI;24;1
DI_STATION15_STOP;DI;24;2
DI_STATION16_MANUAL;DI;24;3
DI_STATION16_START;DI;24;4
DI_STATION16_STOP;DI;24;5
DI_STATION17_MANUAL;DI;24;6
DI_STATION17_START;DI;24;7
DI_STATION17_STOP;DI;24;8

DI_STATION18_MANUAL;DI;25;1
DI_STATION18_START;DI;25;2
DI_STATION18_STOP;DI;25;3
DI_STATION19_MANUAL;DI;25;4
DI_STATION19_START;DI;25;5
DI_STATION19_STOP;DI;25;6
DI_STATION20_MANUAL;DI;25;7
DI_STATION20_START;DI;25;8

DI_STATION20_STOP;DI;26;1
DI_STATION21_MANUAL;DI;26;2
DI_STATION21_START;DI;26;3
DI_STATION21_STOP;DI;26;4
DI_STATION22_MANUAL;DI;26;5
DI_STATION22_START;DI;26;6
DI_STATION22_STOP;DI;26;7
DI_STATION23_MANUAL;DI;26;8

DI_STATION23_START;DI;27;1
DI_STATION23_STOP;DI;27;2
DI_RESERVE_5;DI;27;3
DI_RESERVE_6;DI;27;4
DI_RESERVE_7;DI;27;5
DI_RESERVE_8;DI;27;6
DI_RESERVE_9;DI;27;7
DI_RESERVE_10;DI;27;8
