Name;XT;Module;Channel

AI_TEMP_TUMBLEDRYER_ENTER;AI;1;1
AI_TEMP_TUMBLEDRYER_EXIT;AI;1;2

AO_TEMP_BURNER_TASK;AO;1;1
AO_RESERVE;AO;1;2

DO_BELTFEEDER_TURNON;DO;1;1
DO_ROTARYCRUSHER_TURNON;DO;1;2

DI_BELTFEEDER_ROPESWITCH_TRIPPED;DI;1;1
DI_BELTFEEDER_BELTBREAK_TRIPPED;DI;1;2
